state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyline
0	-92356.7544866773	-14714.4142358851	-77642.3402507922	805.340712314168	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	8	8	2	2	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1	0.333333333333333	0.954279713077811	0.347480022984999	0.0390899789609419	-77642.3402507922	-910.005183126715	-8520.26654088624
100000	-8358.34664455821	-3732.68227813385	-4625.66436642436	698.211338632059	523.167667729031	963.244216968431	332.22512749467	106.140402730946	42.4606708894602	10.6072946191284	11.816100938197	13.2891241661046	10.3590926243475	12.3502596184807	3	7	19	24	1	26	3	1	1	3	5.43038061839095	3.95030519610649	0.390348256209411	0.155630849105932	0.218843820291114	0.235177074393543	0.0253638650004009	0.000118158015255236	0.484181348380663	0.000113305882937481	0.508291297515043	0.194291191943033	-4625.66436642436	-910.005183126715	-471.72117588469
200000	-8400.06226261848	-3785.10795293206	-4614.95430968642	699.019141394812	1553.36284766665	1551.62534716477	299.438155312171	614.865672655241	112.769827296596	35.4739321881045	24.2477431342117	18.4771358178364	6.77496293014387	5.65891352481145	4	7	1	26	14	7	21	6	1	1	5.15810618480678	4.2374449680708	0.379159645368858	0.154298850923668	0.238567024208127	0.227974479499347	0.0114297697675681	6.7063375529529e-05	0.118775331755549	6.6821209415712e-05	0.118850563866121	-0.0128401904571963	-4614.95430968642	-910.005183126715	-519.674536450841
300000	-8414.29961705799	-3806.50633329909	-4607.7932837589	696.013382936061	1496.57467777785	1746.09041430116	2267.30595877292	495.560930536216	1039.39971917157	162.924712788481	36.5131932805706	37.3466980599849	25.6753877382931	3.49605996565116	1	6	5	24	1	24	15	2	4	6	4.53126657957334	3.81884374336179	0.376650795054088	0.156162773238386	0.240285943116325	0.226900488591202	0.040121679546973	6.69666309999343e-05	0.102433917224929	6.55287568161562e-05	0.102896327081372	-0.0168198648880577	-4607.7932837589	-910.005183126715	-532.716617091794
400000	-8379.5673420081	-3789.0685668133	-4590.49877519479	705.739086370335	1549.20294567157	499.570626013458	345.985037225628	159.300791283974	276.859272741872	79.7974146192487	34.0001575399537	32.3800493078846	12.3316914910193	24.3218198579299	9	22	6	7	9	1	2	9	19	4	4.9611671733708	4.36188673967071	0.401817061434312	0.156873089239287	0.214743707449554	0.226566141876847	0.0610244584433405	5.96544750624842e-05	0.185453001612999	5.95150692253478e-05	0.199761753865388	0.0219152917918474	-4590.49877519479	-910.005183126715	-521.762328576581
500000	-8404.63922868781	-3787.75624029809	-4616.88298838972	698.810112010066	1312.96633692497	345.448055094839	341.416797084809	302.604386097749	311.41418770597	89.0089952892584	9.15750696906788	11.7487800538483	13.9735762679816	4.95204839906591	13	3	12	18	6	7	1	5	21	2	5.49465614414762	4.42989810244699	0.39518238255282	0.149680379899324	0.218735265668112	0.236401971879744	0.027650604472625	7.01534228767014e-05	0.182453700333562	6.89689262882946e-05	0.193274677295182	-0.0787048396783734	-4616.88298838972	-910.005183126715	-523.10534881295
600000	-8423.51103040493	-3802.04862857749	-4621.46240182744	698.676510179132	1667.78088570127	497.334324707396	804.775492959975	343.47858996116	66.5001700488808	50.7911354803352	29.8819408371808	29.8163902674399	7.81386198457165	2.78582252597581	14	2	11	25	3	10	18	1	2	2	5.51010486666593	4.06668822672251	0.392436617052242	0.16769356517933	0.210580448710007	0.229289369058421	0.0394232984135547	5.46043004364048e-05	0.19315801006861	5.59315760975731e-05	0.198104125297393	0.0579736265176285	-4621.46240182744	-910.005183126715	-537.293486783809
700000	-8422.11331583628	-3818.21202816925	-4603.90128766703	725.410166010065	1138.38430350768	970.948011814729	1793.41185711179	391.324827138725	287.278500227824	18.6144367656822	20.5301955762865	22.429576119661	46.5703388351147	29.9903018164685	15	6	6	9	18	4	1	18	6	5	5.72793861875846	4.12560772999629	0.37638841492857	0.170342478809502	0.213885997899853	0.239383108362075	0.00965732560677038	5.19222317081688e-05	0.201880298536455	5.35075006853544e-05	0.206816682266346	-0.0739107123393301	-4603.90128766703	-910.005183126715	-547.9305868903
800000	-8413.98633907471	-3810.99914239184	-4602.98719668287	699.061333815129	806.546430236149	53.4219099943373	94.400982895199	307.939915334385	159.780611330327	36.1746159709791	51.1925566574419	29.7189472776967	28.6663218148276	20.8017720426421	35	2	9	8	6	1	7	3	12	5	4.76530390780534	4.06755703905948	0.371497307772516	0.160449676851582	0.221179503459609	0.246873511916294	0.0436651662475509	5.7810501923626e-05	0.00601198613633002	5.78269207821834e-05	0.00566626576235666	-0.109466749380468	-4602.98719668287	-910.005183126715	-546.506743160202
900000	-8402.47559120505	-3793.22589486878	-4609.24969633627	689.659648709894	1399.37480035112	426.833681246658	531.611588084386	72.6777737345247	201.653241103224	192.020728471435	77.8693881948957	36.5386207274272	15.9197075161371	0.919897499768853	8	3	27	8	9	2	11	5	12	3	4.31128127342728	3.93444456834274	0.391909714048468	0.161968956461434	0.220586465106244	0.225534864383856	0.0382048405294172	4.87306686208094e-05	0.147443120808563	4.97806491170481e-05	0.149324396986074	-0.00363660894216824	-4609.24969633627	-910.005183126715	-525.981841839556
1000000	-8387.97138479878	-3779.10969663675	-4608.86168816203	690.057979361784	1364.92755588812	1007.14106925195	530.442085119223	152.037602109426	205.304221640142	47.2604019443009	8.95064990617698	4.46467582361041	5.5695444185327	1.55580457290379	1	15	23	6	8	12	16	1	2	4	5.82069576719001	3.1430696160577	0.390932201371916	0.156795659350449	0.214565160759884	0.237706978517753	0.0443309553654757	6.06447663297806e-05	0.280697343626862	5.69734396865912e-05	0.267006380840884	0.0416215279286616	-4608.86168816203	-910.005183126715	-517.688038663168
1100000	-8415.45720242625	-3803.79844408834	-4611.65875833791	696.432596674352	2098.86806843131	909.274564074686	514.420513568261	324.67103901149	185.096225385224	21.8368678538529	16.7881962369101	37.6107820628977	30.4077245296204	2.55534267654771	10	2	13	27	7	9	10	5	2	3	6.12212719456496	4.55926264307592	0.360799755509754	0.150943893618767	0.235377272075256	0.252879078796225	0.0624816663281937	6.01741888198013e-05	0.0946996823937256	6.01220713305766e-05	0.0987413477305554	-0.12552979806853	-4611.65875833791	-910.005183126715	-536.447406167576
1200000	-8389.53866059813	-3796.96753392825	-4592.57112666987	689.762268504832	2500.39050353073	244.191918502761	220.657275579537	497.563465688479	501.276902822317	187.279073310663	146.494202997376	52.4963110457297	33.1761147883896	5.33742351717191	10	4	11	10	2	13	3	14	13	8	5.02704431143554	4.24670737549735	0.408271523332138	0.144479911900591	0.21431233915062	0.232936225616653	0.019295608023934	6.96786863382683e-05	0.400005429221137	6.48145521665908e-05	0.450759005890854	0.00334181097313468	-4592.57112666987	-910.005183126715	-524.321584448506
1300000	-8383.54021092745	-3796.04149937427	-4587.49871155318	693.528282875549	1270.30607268421	828.882026496462	525.755552556064	526.763199224807	537.497930881548	35.2144956917902	54.721645526087	113.295349537696	18.2789220344158	5.33216053389809	8	3	22	1	5	2	5	19	20	3	5.5280655775052	4.21920266336919	0.377152552018853	0.153312336227653	0.239310062626701	0.230225049126795	0.00705467739250162	5.98903986062493e-05	0.152043340281157	5.88294146770141e-05	0.151085654898383	0.0243714559172028	-4587.49871155318	-910.005183126715	-524.921010998184
1400000	-8427.72971745823	-3809.30220079793	-4618.42751666031	691.104081364171	980.860092036313	308.010231185208	503.429266639112	685.635242360802	694.174399153792	403.908161774857	159.355836490822	88.5608815799901	22.1774099442966	1.33564463510728	13	9	5	5	4	1	20	10	18	3	5.41267713847248	3.32711938713762	0.39433980723328	0.168237510915986	0.215876540460463	0.221546141390273	0.0640166814228111	6.71019753544806e-05	0.0379877425923894	6.67988337192041e-05	0.0395937450695804	-0.0154744728109533	-4618.42751666031	-910.005183126715	-537.48296905786
1500000	-8375.77797424332	-3794.80547545492	-4580.9724987884	692.725352692116	3348.47699311092	444.024130869524	308.238315517192	602.285049327971	129.171203734972	97.5577481494353	53.6119785069391	55.6901955300718	0.774412244500727	0.54638182007865	10	7	2	19	13	8	12	10	2	5	4.60855048464856	3.7472582505778	0.39622622370145	0.165169346938682	0.208527385477079	0.23007704388279	0.0217804567168532	5.73870306160711e-05	0.211694681073825	5.65703866300471e-05	0.217355907082931	0.00283224188177519	-4580.9724987884	-910.005183126715	-528.702221363957
1600000	-8391.4435556631	-3811.70740954129	-4579.73614612181	699.136863236483	1691.36023626151	700.017399632028	824.39406576438	1122.73896101756	216.949684950824	29.3879581778912	23.106188853018	15.4216311719213	22.6777532726562	1.71858549002728	11	2	20	3	23	11	12	1	3	2	6.47864373973001	5.11564551799199	0.380333248329955	0.15652868908466	0.223311020737219	0.239827041848168	0.0540603745547807	6.30004478688593e-05	0.326121029271305	6.24836395901099e-05	0.356015611670017	-0.00927484757562373	-4579.73614612181	-910.005183126715	-542.719347999298
1700000	-8386.37715764038	-3817.82267628859	-4568.55448135179	698.16595665235	1754.29765028379	2085.21475391937	674.060771902185	60.6337638440756	146.299365824608	40.0393957903681	13.416677160237	41.8054955861639	41.0027167706252	10.8837179085956	4	8	26	8	18	10	3	9	1	1	5.88862838377115	3.52630264566158	0.387334419015265	0.158090863756003	0.222877538312016	0.231697178916718	0.00532898775910113	6.66285508797502e-05	0.379006757332251	6.06766339575502e-05	0.404517225799673	-0.140977143155814	-4568.55448135179	-910.005183126715	-547.637233332899
1800000	-8393.27169822568	-3794.43021754069	-4598.84148068499	690.201624921714	2126.74178858565	774.085511971411	724.074557199712	341.604589381785	14.7992908263398	28.6746899911332	60.2608382409101	24.83949672607	21.6089111690325	0.156589215907879	7	6	18	18	4	12	9	10	1	3	4.9431818105374	4.4721887528648	0.409021139722839	0.151639318519788	0.216026469846602	0.223313071910773	0.0538825290895671	4.90157941685819e-05	0.070755545618966	4.87696926791209e-05	0.0722802668089759	-0.0407884846275161	-4598.84148068499	-910.005183126715	-528.237559475559
1900000	-8393.41531249122	-3806.33479886653	-4587.08051362469	693.998559296979	5545.37675915206	561.407030351886	542.520907733931	823.155751471854	105.36112986169	45.3170916739842	35.4723450678998	13.8332292732566	25.9308914484006	0.820742352017313	10	14	3	10	20	4	17	2	6	2	5.41072938010841	3.28044466040022	0.379838309954915	0.150196844711255	0.22022276543643	0.249742079897402	0.0036125117284195	6.179475350325e-05	0.423184030811628	5.80914080441997e-05	0.437002589852951	-0.0135679849752312	-4587.08051362469	-910.005183126715	-536.476067908446
2000000	-8390.44271024614	-3799.7786542136	-4590.66405603254	691.107255046559	1141.85427437233	811.76211774408	178.115794870821	404.133425976791	220.639948034039	259.174526974097	265.121235035826	21.5945035912114	31.0559522334555	1.6088056814513	8	5	9	9	27	4	2	13	7	4	4.69599060242611	3.35796461654202	0.391824010234025	0.153580089024472	0.219558635463339	0.235037265278166	0.0442263418746153	6.98356032116897e-05	0.36981594320888	6.62431243229814e-05	0.408113148729856	-0.000466834313150385	-4590.66405603254	-910.005183126715	-528.257104828269
2100000	-8394.37361569242	-3793.52521585268	-4600.84839983974	694.042324498148	2603.04289948787	621.5957329982	489.83261918625	119.785879496206	291.805753362991	74.6428462616207	39.3389701248493	26.5496851822641	25.5434583627875	4.74335916969176	11	18	8	13	2	7	6	14	2	7	5.38138296483414	4.14695967230068	0.399820146390452	0.164602693415195	0.210509741504989	0.225067418689366	0.0406497383865583	8.02171780582102e-05	0.322978139231359	7.5362387539255e-05	0.291910469502386	-0.0451410515084245	-4600.84839983974	-910.005183126715	-524.457841872908
