state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyline
0	-146260.399661504	-20249.1195289108	-126011.280132593	1557.54399745368	1	1	1	1	1	1	1	1	1	1	10	10	10	10	10	10	10	10	10	9	2	2	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1	0.333333333333333	1.01968105920605	0.373218061410942	-0.122646558894815	-126011.280132593	-1047.07687207752	-11253.3311163092
100000	-13195.8814376349	-3932.98168228271	-9262.89975535222	1317.17254324384	435.049078818303	175.661155849616	130.56016973357	228.062495196718	56.8245350634958	171.628169420044	39.2526953968781	13.1611600099674	8.21314967220637	4.69209107953362	14	14	1	4	9	23	9	7	5	13	5.82980198648309	3.03992640440273	0.375715840400457	0.165853929447119	0.233728149160698	0.224702080991727	0.144782168297618	0.000940135143157671	1.20074099717888	0.000500287660425739	1.46226961387385	-0.0582900320363151	-9262.89975535222	-1047.07687207752	-525.242330704432
200000	-13106.3781552581	-4007.67647830954	-9098.70167694851	1314.49781951699	3214.27186352917	1074.22811421631	279.819127412679	603.897703287331	295.534201989119	237.366025855666	90.588827353181	23.3482077986013	1.41871070418475	0.228277661279687	2	7	3	10	45	1	10	17	2	2	5.31139927229789	3.44756594935128	0.378380753282656	0.173918769198487	0.217659464758419	0.230041012760438	0.145986353422124	0.000339170746728429	0.646030379724946	0.000305850422539445	0.698691131797576	-0.0640528633476521	-9098.70167694851	-1047.07687207752	-598.184175803354
300000	-13108.0591488696	-4024.39152872952	-9083.66762014011	1314.47311782311	2255.7822687474	808.719731371993	135.385146967654	568.717173285076	240.18266147949	351.104745490142	38.9744830088018	31.9543153031271	10.8721950045394	0.348160442837709	7	6	7	17	33	3	20	1	3	2	5.23706041989425	2.9847962105747	0.373305624838952	0.159482942167357	0.222808685354713	0.244402747638977	0.146988054739169	0.000280548722215728	0.526114482107988	0.000252802701715744	0.674986926593714	-0.0171722887832532	-9083.66762014011	-1047.07687207752	-612.856021395442
400000	-13151.1253438486	-4046.34465016192	-9104.78069368664	1315.55093125732	964.609681492471	1574.58999287268	561.646358580832	2155.64962942185	303.07808485142	292.936985837513	48.2730841157946	82.503489467494	4.62834395108984	0.481082176249525	4	6	8	10	42	3	18	2	1	5	4.79537063356241	3.15833692815455	0.370761604329647	0.183209017952056	0.228390719480262	0.217638658238035	0.159272692126563	0.000204699351188305	0.39346479639136	0.000202295115430244	0.383004118112659	-0.0603599781074135	-9104.78069368664	-1047.07687207752	-632.647551030623
500000	-13111.7731059234	-4054.08093820195	-9057.69216772144	1349.10517022301	3183.95255318199	218.945065050477	178.030677665006	828.930010617053	334.395588598587	76.6115579852485	101.377361960071	89.5389678268744	24.2059976558618	14.1687403736909	6	11	3	10	43	13	1	5	5	2	5.10148465093232	4.04582588185523	0.39373965844832	0.159022561521973	0.233717080546002	0.213520699483704	0.147016283016361	0.000269237194651756	0.447818497300053	0.00024497907071118	0.467612566958784	-0.048828910985562	-9057.69216772144	-1047.07687207752	-639.247889537527
600000	-13136.0118199579	-4056.64908151331	-9079.36273844462	1333.33625908967	4012.01099967391	870.827744143013	157.985455489025	709.516068093918	356.678906066902	105.262082302614	211.789162523859	59.9507731384691	1.82356407415413	2.53620110228297	5	8	7	15	31	4	6	19	1	3	4.77939677224454	3.1261794821071	0.380429724661778	0.161370498010151	0.2394580265836	0.21874175074447	0.144176423104308	0.000228522768869577	0.340057944962293	0.000221093803863376	0.365039193570302	0.0311757993452033	-9079.36273844462	-1047.07687207752	-643.151284381125
700000	-13148.8189942069	-4093.74839047261	-9055.07060373433	1351.45570516619	2903.55380290791	513.844660292868	790.496886290102	751.400964711416	142.539560843255	312.809227861466	218.695012268209	92.2047075900364	12.0847847946471	13.6266491146231	7	8	26	15	5	6	11	16	3	2	5.5249252001354	2.87091877291766	0.387300800734589	0.184957359067864	0.203896101051384	0.223845739146162	0.154017327932224	0.000191716985983011	0.295209614397087	0.000183974643424754	0.282279642737124	0.108635108312111	-9055.07060373433	-1047.07687207752	-679.465078764609
800000	-13117.4243447627	-4059.33734569931	-9058.08699906342	1330.43605456441	3142.21956281755	686.732830736686	804.849595843884	281.134360863455	278.952142567871	236.098572967325	183.312553790797	30.8193432129347	40.9683786520619	26.667023249175	6	8	29	4	2	15	13	9	9	4	6.05997603162169	3.12357905317009	0.378384443322204	0.173304094780122	0.22353964400741	0.224771817890262	0.146027425597943	0.000219593901936373	0.417656319040265	0.000218560386517733	0.44507553961346	0.0274935850613887	-9058.08699906342	-1047.07687207752	-645.475372820428
900000	-13141.7293507423	-4066.79535794346	-9074.93399279879	1357.2401062483	2074.1602432548	379.704673989899	718.821775513613	106.664897891699	315.944278876231	35.1785543464174	257.621772321562	49.0119696591439	52.3296083586499	15.8311933913589	8	6	29	7	6	4	15	3	16	5	4.41293899342731	3.28527504955855	0.380518585296468	0.169004570097716	0.229575337309199	0.220901507296615	0.135842310466338	0.000233371221805484	0.313096675919642	0.000223378963662073	0.313981509486549	0.0415220997970949	-9074.93399279879	-1047.07687207752	-648.942376891147
