state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyline
0	-99467.8602861252	-15677.3252808242	-83790.535005301	813.255236997658	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	8	8	2	2	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1	0.333333333333333	0.927679285243435	0.355020182201064	-0.0291243499878061	-83790.535005301	-910.005183126715	-9280.25278320339
100000	-8459.61903246022	-3742.85957462477	-4716.75945783545	689.76307104292	891.404226506481	291.128644508152	207.216467761387	629.504744442858	55.6458779678496	256.719145560231	25.2576297580851	19.5695118816374	12.0693981613004	3.878754740883	10	4	24	1	16	1	12	7	11	2	5.46404987874199	3.59569664346311	0.38517004631926	0.155584262689437	0.213151446962945	0.246094244028358	0.0203652118417938	0.00012869836092328	0.366172950180648	0.000119723100847605	0.410502161725501	0.0513541814961933	-4716.75945783545	-910.005183126715	-473.12954838265
200000	-8410.77842539785	-3779.17909642171	-4631.59932897614	697.288270138035	1626.73145047864	1957.8178381744	366.544163925011	889.635193199233	369.257902220176	33.0599728343227	81.0546034620304	58.3221964761484	15.7873575537508	16.2566208495217	5	5	15	4	8	4	14	16	11	6	4.42525707650476	3.77865060661989	0.401162215321722	0.147584217116112	0.212344867366261	0.238908700195905	0.0377928246248763	8.94835315806838e-05	0.560482994748791	8.96680062684662e-05	0.566725657676519	0.0505820624171208	-4631.59932897614	-910.005183126715	-504.821679130578
300000	-8394.30209672265	-3793.0881977963	-4601.21389892635	690.777219502552	848.281004394782	593.998544596017	170.152258120528	165.300539587167	667.558397296451	139.727830053936	47.9427906094648	22.9714914107236	16.2892950295653	1.19919543239653	7	11	4	1	18	10	18	5	12	2	4.53237398616504	3.15899664201811	0.385028518951121	0.146889930557697	0.229786002970274	0.238295547520909	0.0279373120589331	6.91903342455966e-05	0.0739611848543582	6.95036180703622e-05	0.0738586575165172	0.157162787309159	-4601.21389892635	-910.005183126715	-525.962191588705
400000	-8382.1659021126	-3792.42013301223	-4589.74576910037	700.142957493193	927.964919216467	2698.44092597441	477.974413646174	730.221444561227	227.891440313324	352.243056637506	22.5188954534654	9.49242079446284	19.1314525657009	16.1306165450131	4	6	8	16	12	8	3	1	23	7	4.84400185547168	3.95335921405823	0.39874127572384	0.150618869246259	0.216686937400385	0.233952917629517	0.0443254513190025	6.73398588132332e-05	0.256730795128009	6.50137466027484e-05	0.232910267367169	-0.142052120504442	-4589.74576910037	-910.005183126715	-519.803194036971
500000	-8404.31268434066	-3801.91345649721	-4602.39922784346	695.831189368615	1962.3134836701	744.123856933366	248.543961940412	894.561328308187	306.428698061431	241.448425220803	244.027626079155	28.5602631253915	36.3167858455571	10.4462953549516	11	5	8	3	14	9	2	17	6	13	4.7891724895038	4.53389468431205	0.369738635437696	0.164068098244971	0.226780577169409	0.239412689147924	0.0507590819600857	6.72797495288977e-05	0.0336736389801167	6.70466744870145e-05	0.0328077443968824	-0.0142452796526364	-4602.39922784346	-910.005183126715	-527.674981006504
600000	-8365.66708076194	-3789.9612104949	-4575.70587026705	689.603332396738	1523.78993892816	2502.07976059112	444.587251606385	752.801880809734	210.115099972572	129.363845651793	78.25071825167	34.2554508931132	24.5626222991379	0.704967109921558	4	6	12	7	23	1	2	22	5	6	5.12302439978764	4.79608885762469	0.403670391297431	0.148802334950409	0.215706440228864	0.231820833523297	0.0392045981685714	6.8846600127343e-05	0.462038892769421	6.62054383345319e-05	0.473374094378832	-0.0145199767802307	-4575.70587026705	-910.005183126715	-517.436747344475
700000	-8357.43541839325	-3777.36821115287	-4580.06720724038	692.954120159872	885.322592566008	1339.65218895965	139.862093768791	466.351658190382	186.111460764818	36.8305398009115	32.0660466870994	17.7334873063179	1.75435042968198	0.204381763674473	5	7	8	18	18	15	6	9	1	1	4.38945162411239	4.48252129023007	0.403376264149569	0.155824885863343	0.217973698473694	0.222825151513393	0.0229756185593453	7.41387555844325e-05	0.387146379507621	7.36816745034669e-05	0.398958476769005	-0.0394324701831223	-4580.06720724038	-910.005183126715	-513.248037290449
800000	-8379.46177955406	-3799.91996934899	-4579.54181020507	697.309138358648	1062.38923567659	2760.06928311671	790.177630379213	160.995358332279	172.752889050168	85.327862784466	18.0820673651702	12.5650888810879	13.2979435223131	14.7260809800674	1	8	21	13	14	11	8	3	1	8	4.3440196031377	4.87117820239205	0.384681050269648	0.157472673100742	0.219748674434302	0.238097602195308	0.0416404738285998	7.72001188242102e-05	0.305512317706342	7.40790015686858e-05	0.310040777923946	-0.0497971422166877	-4579.54181020507	-910.005183126715	-531.702500317605
900000	-8411.69417085833	-3807.64290289517	-4604.05126796316	699.063068534422	3771.40158573413	2150.24369088198	591.463509313539	166.606087675251	59.2907390031677	30.4829931957773	37.3485442636571	3.14706047093653	8.3268441135849	4.13088142229495	2	9	27	20	13	1	7	4	4	1	4.90750735019888	3.58878220396958	0.396075731754627	0.160738920241592	0.221506130882458	0.221679217121324	0.0379931399634325	4.98428753363292e-05	0.128167681892081	4.93177434373727e-05	0.134692086866431	0.0966598600847142	-4604.05126796316	-910.005183126715	-543.07231352097
1000000	-8398.85245593005	-3803.02322271995	-4595.8292332101	694.300966240622	702.124764350921	3735.66101304445	377.607896698633	1033.99071064758	622.449146126244	21.8672654730707	37.9609030726973	30.8142906362333	26.4059537065977	0.145871257890671	5	5	11	11	22	17	4	3	6	4	6.77609827517451	5.23712493006674	0.362041470333393	0.173818156472878	0.216222024048182	0.247918349145546	0.0164292166267654	4.99836580931406e-05	0.218281153613676	4.77022378235154e-05	0.221089827545822	-0.0673989640331206	-4595.8292332101	-910.005183126715	-527.467104931795
1100000	-8365.00347325432	-3783.81151387168	-4581.19195938264	701.441759487465	1602.82827975994	248.1544500512	460.329368767625	481.885184275867	133.347955375776	90.2587553380158	73.6658468193959	5.79386512666561	11.7481936054623	15.9127408338894	12	13	3	9	15	8	6	4	1	17	6.73816548284226	4.05603067524835	0.372432838433924	0.157223674044739	0.225847596111689	0.244495891409647	0.0300320798107036	6.14551427826367e-05	0.298926245910374	6.12928219932735e-05	0.286262531375742	0.152663004598755	-4581.19195938264	-910.005183126715	-515.627714159192
1200000	-8402.51092834968	-3821.36484883487	-4581.14607951481	710.855634363457	888.676937514439	2091.75900840444	578.553387882907	665.840298557153	253.686989799258	85.0938512840363	67.8041272797258	17.8538945548984	49.1457450495071	5.32995009717776	5	8	13	6	22	8	6	9	10	1	5.42964293409849	5.55523186992673	0.387037639095811	0.160020389816018	0.217152417589175	0.235789553498996	0.0243839631653263	5.40783266807794e-05	0.204721539680577	5.4566201069319e-05	0.201811485381933	-0.0847548485751652	-4581.14607951481	-910.005183126715	-548.802605489076
