"","subtype","vloop","lower","upper"
"1","A1",1,0.646459214585995,1.15349062904117
"2","A1",2,0.342008720286328,0.609755037514209
"3","A1",3,0.0275488008089537,0.0740253518474781
"4","A1",4,0.472722192823818,0.841540511893102
"5","A1",5,0.542348746189884,0.949082776053283
"6","AE",1,0.829901061250132,1.19378115015873
"7","AE",2,0.467386522085384,0.658365267537605
"8","AE",3,0.0180517993136325,0.0469954511200215
"9","AE",4,0.665163659072689,0.953575203566327
"10","AE",5,1.27393932901644,1.80969918468284
"11","AG",1,0.740166454503221,1.9874781658422
"12","AG",2,0.282500115204168,0.566827284217666
"13","AG",3,0.0255091291752877,0.0801084041120232
"14","AG",4,0.302301178666784,0.584978525740616
"15","AG",5,0.472647909826592,0.939910998071342
"16","B",1,0.482362647509615,0.583952050400234
"17","B",2,0.202483288581292,0.242081545770013
"18","B",3,0.0268356267226956,0.0371603917456352
"19","B",4,0.305568797520587,0.364928924522662
"20","B",5,0.557890707015676,0.665534617229396
"21","C",1,0.584472565615315,0.741868314843082
"22","C",2,0.25782019322997,0.321789272494595
"23","C",3,0.0356890042292507,0.0515872543930631
"24","C",4,0.398872939233753,0.496396824488436
"25","C",5,0.787816449240334,0.976590544378412
"26","D",1,0.437779284433075,0.930056533736892
"27","D",2,0.252464127511231,0.554718708208349
"28","D",3,0.0445562860642282,0.140865390494597
"29","D",4,0.520150151155842,1.16616682814529
"30","D",5,0.440653880071245,0.967216112565439
"31","F1",1,0.458617277855359,1.57792939721575
"32","F1",2,0.170284312010222,0.538822393336425
"33","F1",3,0,0
"34","F1",4,0.231136839561635,0.740658776557492
"35","F1",5,0.568779426579289,1.89094280069414
