"","Clade","Estimate","slo","shi","xint","xlow","xhigh","rsqrd"
"1","AE",0.0025,0.0023,0.0027,1971.38561650404,1970.11840029413,1972.65283271395,0.51
"2","AG",0.0022,0.0017,0.0027,1957.34653694983,1952.36690613582,1962.32616776384,0.35
"3","A1",0.0027,0.0022,0.0032,1932.03530699215,1924.91237863873,1939.15823534558,0.26
"4","B",0.0024,0.0023,0.0025,1941.22892025008,1939.71187351262,1942.74596698754,0.34
"5","C",0.002,0.0017,0.0022,1926.91608950742,1922.03705989704,1931.7951191178,0.13
"6","D",0.0019,0.0015,0.0023,1944.49747742209,1938.13168852236,1950.86326632181,0.33
"7","F1",0.0023,0.0019,0.0028,1970.34759041736,1966.35216484355,1974.34301599117,0.57
