state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
9990000	-4443.75980627552	-1543.90056604631	-2899.85924022921	1963.01147047027	2355.83339119507	1.63324527913678	1.36840275317486	0.409695188741452	0.176623800406404	0.177463382135904	0.236217628716238	0.046298164268368	1.18650294349717e-05	1.83974331537061e-05	8.25552503405218e-06	1.36398925747374	0.0141990630165058	-2899.85924022921	-824.190606307646	-720.114164111581
10090000	-4436.01457207818	-1541.54561392972	-2894.46895814846	3016.9980203426	2781.19287417803	1.94284354097048	2.34085687048671	0.398597575344945	0.165528233340501	0.1640972820996	0.271776909214953	0.0227005171843678	1.41754288835078e-05	2.88808898892015e-05	7.94720814737169e-06	1.6785067869041	0.262243585103106	-2894.46895814846	-824.190606307646	-716.032632561981
10190000	-4447.36869839036	-1541.64463701088	-2905.72406137947	1841.66894815047	2824.66818037873	1.78745722866486	1.9794130939233	0.441257629362976	0.165197469732048	0.1586650555448	0.234879845360175	0.020866835353263	1.39518249529885e-05	3.3784700393282e-05	8.01070304439131e-06	1.69976841026147	0.123862227533551	-2905.72406137947	-824.190606307646	-716.698095350091
10290000	-4444.5481219661	-1543.07771561839	-2901.4704063477	2678.51137739139	2680.01281550994	1.97596742664681	2.38769470746413	0.442934907402896	0.166000981210836	0.159772206352357	0.23129190503391	0.0444711585703499	1.39768954306257e-05	2.35568923756473e-05	7.56320584034598e-06	1.42814628927217	0.00560373184652523	-2901.4704063477	-824.190606307646	-717.481778531349
10390000	-4440.34900734103	-1555.88100422086	-2884.46800312017	3387.61043339745	2775.06529813589	2.22665315487024	1.71388175644461	0.413191365292011	0.188899339416726	0.161353725759608	0.236555569531653	0.0182765907953637	1.42818208251485e-05	4.41534151657804e-05	5.74418406512212e-06	2.19029921888304	0.244930290226441	-2884.46800312017	-824.190606307646	-730.761473342782
10490000	-4432.85757469015	-1551.41041235561	-2881.44716233455	3382.40108309092	3305.33013497519	1.95664901876489	1.52137671719033	0.414704999570325	0.157530163972839	0.181345992767462	0.246418843689373	0.0953362644704624	2.47364379027127e-05	0.000121898216130785	6.3467821254968e-06	2.32240734120842	0.0827391820507551	-2881.44716233455	-824.190606307646	-726.073720696193
10590000	-4429.88306084178	-1545.86335559164	-2884.01970525014	1583.13997130468	2734.42171957808	1.44594308080216	1.74035156326654	0.41991382711887	0.174165739391132	0.17290616175314	0.233014271736857	0.0233199663559274	1.07905758836704e-05	2.07434275927649e-05	7.39142637286116e-06	1.26801772738848	0.106622845255417	-2884.01970525014	-824.190606307646	-721.789344368808
10690000	-4440.46915976982	-1546.6019672395	-2893.86719253032	1349.44992384659	2738.62130492015	1.97459774170719	1.26817440180621	0.413832562385181	0.175891069387218	0.158063096401563	0.252213271826036	0.0432757422755563	1.318034089842e-05	2.22987483939774e-05	9.2100963361945e-06	1.22006441006079	0.0145325566470808	-2893.86719253032	-824.190606307646	-722.345428290105
10790000	-4434.02928427617	-1546.3422285226	-2887.68705575357	7250.86307599162	2549.64602029155	1.82910363811865	2.07081656369245	0.413751383902496	0.169549517305475	0.189694196693761	0.227004902098267	0.0353232604006014	1.03818717970923e-05	2.06684097789136e-05	4.69250913584671e-06	1.62121705068352	0.205949261629276	-2887.68705575357	-824.190606307646	-721.479376755794
10890000	-4468.71941418969	-1584.62251525828	-2884.09689893141	5115.19802337128	4673.19814110236	2.21957357355916	2.02352958909722	0.397108774886007	0.179903608359938	0.18193754932336	0.241050067430693	0.0452098982678446	9.29174977557484e-06	2.59024185280005e-05	4.61934891978239e-06	2.19400361043332	0.064628392837918	-2884.09689893141	-824.190606307646	-758.800880454649
10990000	-4457.27995015754	-1565.87666584594	-2891.40328431161	5791.65551135615	3387.32515512417	2.26967067343372	2.36964361418457	0.417258802213689	0.162809475083719	0.173763148118614	0.246168574583976	0.0829523542777306	2.39784356278517e-05	7.49650608013168e-05	5.91079335332148e-06	1.92358869415519	0.0698170452405142	-2891.40328431161	-824.190606307646	-739.261587455324
11090000	-4438.89631634745	-1549.11631792921	-2889.77999841824	3430.03634409272	2831.90099717994	1.64294959716843	1.8932779078007	0.448217703001844	0.168193926927734	0.171868409313526	0.211719960756894	0.0845300741206785	8.7106443892591e-06	1.73885100345696e-05	5.70405237436205e-06	1.53822913237789	0.120726892617675	-2889.77999841824	-824.190606307646	-724.547923964881
11190000	-4428.57523913685	-1540.66191774624	-2887.91332139061	3703.5674436706	2497.36485855445	1.59236191581872	1.82682878683553	0.424328903660041	0.191150837644117	0.170210942802463	0.214309315893377	0.0359360033395658	1.29491660068138e-05	3.26944721278124e-05	5.67774820111457e-06	1.8636182730547	0.0279753349926751	-2887.91332139061	-824.190606307646	-716.265831921744
11290000	-4456.1505522915	-1573.0336688841	-2883.1168834074	3812.09533130491	3694.98712932841	1.69818888499819	1.90884756272271	0.416687332343336	0.171237408126494	0.180672509371972	0.231402750158196	0.0468700039056732	1.35806376683101e-05	3.72738219568881e-05	5.51130968670292e-06	1.73989781271482	0.337708433383826	-2883.1168834074	-824.190606307646	-747.97018225432
11390000	-4440.55625119293	-1545.28614144021	-2895.27010975273	2551.885427386	2498.87917772109	1.86701199752247	1.52808175014915	0.425316836330074	0.173160234698814	0.164984469002579	0.23653845996853	0.0117126981933389	9.88555194578843e-06	1.38746336615719e-05	7.05971557006902e-06	1.33887248405697	0.0413481025319851	-2895.27010975273	-824.190606307646	-721.110797731923
11490000	-4447.74766584415	-1559.5330783134	-2888.21458753075	1868.54449708716	3218.14183157831	2.55651633814911	1.55459106202645	0.384005655253356	0.196895648468107	0.17690507354554	0.242193622732994	0.0497689054726708	1.79186117521082e-05	3.89111172971888e-05	8.92716887889185e-06	1.89762317503202	-0.0141028680733176	-2888.21458753075	-824.190606307646	-733.908729915728
11590000	-4413.47771883808	-1531.5204289649	-2881.95728987318	1383.17100554985	1991.68583392152	1.69700753342281	1.78637677044983	0.394448518268131	0.180883145087766	0.172055791847113	0.252612544796987	0.0337081341362473	1.47968908905791e-05	5.79872735388046e-05	7.7264953141153e-06	2.47141216768797	0.0509367352688103	-2881.95728987318	-824.190606307646	-707.191589821332
11690000	-4441.90190948137	-1551.29819902916	-2890.60371045222	3647.95130153909	2899.3266862194	3.09060828067657	1.5373243749007	0.401510028547162	0.164305449211635	0.187303851342532	0.246880670898668	0.00611958369250016	1.80133364038416e-05	9.3321741477954e-05	6.07053707554596e-06	2.2582694584291	0.0696505470794929	-2890.60371045222	-824.190606307646	-725.390341618747
11790000	-4463.57466536088	-1569.73632093181	-2893.83834442906	3878.30518785725	3520.70205205253	2.19562717009248	2.07427243067958	0.42111999463037	0.176396901871456	0.162270707981771	0.240212395516401	0.0417632288919479	1.47540268596412e-05	5.34738480369705e-05	4.9254187723283e-06	1.85770754069397	0.158880895204213	-2893.83834442906	-824.190606307646	-743.929016185897
11890000	-4458.42374359119	-1553.32071920549	-2905.1030243857	2517.86365813959	3359.78875218662	2.57454100021575	1.56191784786424	0.421914596141509	0.161544866992059	0.162654999975507	0.253885536890923	0.0301542158036422	1.15470728169954e-05	1.8149234155825e-05	6.75227284702226e-06	1.62010708847387	-0.0336637440043377	-2905.1030243857	-824.190606307646	-727.944254550923
11990000	-4426.20260443337	-1541.7601461402	-2884.44245829317	3253.00704470076	2922.92330234001	1.97108095621551	1.5494996941301	0.38796566933304	0.19641375971965	0.169985368135739	0.245635202811569	0.0332916915990922	1.29783694569682e-05	2.85912514467681e-05	6.40158015758477e-06	1.49319862977492	-0.000304063589702218	-2884.44245829317	-824.190606307646	-717.098988819903
12090000	-4467.89561553514	-1569.36370825285	-2898.53190728229	8899.71647143481	3727.06700035534	2.37493283350154	1.88861135697134	0.408855857506813	0.177216468399089	0.181750172214236	0.23217750187986	0.0472842768772773	1.15617315127956e-05	3.08712593537669e-05	4.08409784302126e-06	1.64589280283112	0.359347852457302	-2898.53190728229	-824.190606307646	-743.65317317419
12190000	-4429.52764443217	-1550.57328443742	-2878.95435999474	2964.81046203881	2450.7976244732	2.12943472749521	1.77934480950175	0.406404496396007	0.180079102642415	0.16254341298173	0.250972987979847	0.0650279636412082	1.10427106268067e-05	2.05498591673092e-05	6.4274673891541e-06	1.33587014484666	0.27955499881939	-2878.95435999474	-824.190606307646	-725.655435194992
12290000	-4435.59356856493	-1554.9790311236	-2880.61453744133	2385.44906486534	3153.98192335808	2.04194956700563	2.33912015393803	0.406905369121677	0.163781780980922	0.174081560926916	0.255231288970484	0.0302141520341146	2.47162397192279e-05	0.000122759221982679	7.04220762526672e-06	3.4233807264838	0.169062775252397	-2880.61453744133	-824.190606307646	-728.789396603736
12390000	-4454.41516001124	-1563.99257767892	-2890.42258233232	2642.10516844898	3485.39635408411	1.99369057199597	2.46915281394849	0.431753377699253	0.155449156248225	0.167957820787023	0.244839645265497	0.00832188459001097	1.32567559678369e-05	3.00102487697352e-05	5.83645160764621e-06	1.58305848203646	0.205040145424554	-2890.42258233232	-824.190606307646	-738.136369289429
12490000	-4470.45511113819	-1572.71262871014	-2897.74248242805	2235.67445492745	3973.52324776145	2.98227766939171	1.98294737143247	0.384786928768021	0.18300239597017	0.178777112715591	0.253433562546216	0.0844220698731255	2.47890592655921e-05	0.000194914587295648	6.09094152257543e-06	4.74876573158156	0.0570102135903011	-2897.74248242805	-824.190606307646	-745.631383478602
12590000	-4454.86308894501	-1547.46460233986	-2907.39848660514	2387.90170758397	2758.56975371172	2.05956988611207	1.36854314130887	0.415338929645451	0.167193926859953	0.189862931589216	0.227604211905378	0.00614518576182079	1.15228597019182e-05	2.42303999377952e-05	6.23722732385661e-06	1.89858449159076	0.170697173451778	-2907.39848660514	-824.190606307646	-723.118583059799
12690000	-4449.51003563759	-1566.7977964453	-2882.71223919229	1970.46022499176	4068.07521024805	2.24185791537028	2.27306302716472	0.394097385619796	0.183224104428133	0.174703279004599	0.247975230947471	0.0366092790166669	1.06313186157756e-05	2.41386538398542e-05	7.12371574693493e-06	1.90326756234763	0.301226025819185	-2882.71223919229	-824.190606307646	-740.779593392577
12790000	-4443.57370617869	-1545.57492248117	-2897.99878369752	1865.35177345107	2593.17351178905	1.53565216374562	2.07494287184141	0.420674155791398	0.164474757587372	0.197020014924328	0.2178310716969	0.0333705012448961	1.73540952219622e-05	4.30977199234364e-05	8.27416564626468e-06	1.43562622389739	0.218953645537326	-2897.99878369752	-824.190606307646	-720.74502973223
12890000	-4438.10762697842	-1538.54729455748	-2899.56033242093	1653.71179282927	2657.90470692924	2.48899380975613	1.63168292927578	0.415470442461305	0.185501309720916	0.161054672524066	0.237973575293712	0.0452621318879802	1.60117288686019e-05	4.14394594699407e-05	1.05669958914355e-05	1.65824656665436	0.133896012178023	-2899.56033242093	-824.190606307646	-713.173751452786
12990000	-4432.72618374601	-1552.7186350771	-2880.00754866891	2880.76777381349	2927.01106111629	1.7443620661363	2.29809925126479	0.41164600833451	0.164491653936614	0.188882060207113	0.234980277521762	0.0435279686827521	2.25370835105345e-05	0.000101833011691197	7.17855578003809e-06	2.93457722043869	0.00714285512234251	-2880.00754866891	-824.190606307646	-727.043636668511
13090000	-4478.05869060152	-1580.61932898007	-2897.43936162145	3740.35216750929	3494.68665787251	1.39544290935958	1.46376868705625	0.39485426097734	0.165132138396883	0.185164615848104	0.254848984777671	0.0381043307709902	1.69822375633317e-05	4.335030353638e-05	7.0925637520649e-06	1.390101076256	0.102660444128764	-2897.43936162145	-824.190606307646	-756.409008991744
13190000	-4474.3158311963	-1577.47624167241	-2896.83958952388	3128.11262030794	4500.94195691672	2.30376658095706	1.98766719894088	0.411577809275942	0.181628089617895	0.180268608110838	0.226525492995323	0.0288845182256929	8.28085810216075e-06	1.34251968098843e-05	5.57108993604227e-06	1.32870683501081	0.111303146463436	-2896.83958952388	-824.190606307646	-751.721017829626
13290000	-4443.26325190863	-1553.18346340376	-2890.07978850487	6789.89338510932	2782.61837119558	2.27852841441141	2.19632629145749	0.423295631896224	0.154717384338717	0.176735432760549	0.245251551004508	0.0235689101690007	1.13057843632126e-05	1.70015774567215e-05	5.53906018621987e-06	1.18484705388826	0.0592248441686115	-2890.07978850487	-824.190606307646	-727.583043214969
13390000	-4487.18152149367	-1580.51852582013	-2906.66299567353	2533.2387129646	4337.60496972924	2.13430114874885	1.77611897646228	0.401759766750509	0.178376752743421	0.184404143441458	0.23545933706461	0.0518596093341462	7.72893168841822e-06	9.79236542102726e-06	5.7321540134991e-06	1.27981225470816	0.216123190555961	-2906.66299567353	-824.190606307646	-755.201110077431
13490000	-4427.68915338477	-1539.90342610254	-2887.78572728223	3389.78101768754	2355.31560362125	2.13713494529664	2.52952370567799	0.398805447290502	0.174236874703412	0.188594573272066	0.238363104734018	0.0584998604822352	1.34378383850925e-05	4.01603508319786e-05	6.00240818301419e-06	2.1744852023773	-0.0358989336074806	-2887.78572728223	-824.190606307646	-714.113175391953
13590000	-4458.87440627643	-1562.35818729144	-2896.51621898499	3063.69779965485	4070.38083173667	1.73323134594945	2.19066894844923	0.432402746532018	0.1606536368731	0.166829957531924	0.240113659062955	0.00470938763272726	2.65830090515561e-05	0.000134402246667126	6.42334267606837e-06	1.54932174663739	0.090589548536513	-2896.51621898499	-824.190606307646	-736.408312118742
13690000	-4441.42273116253	-1554.52211530627	-2886.90061585626	4677.91466223782	3191.05286653586	1.69526046563854	1.78231370497906	0.423393967008158	0.160561951981833	0.17362328573056	0.242420795279447	0.0325476146802913	2.86994253929744e-05	0.000258759402161331	5.23641468225637e-06	2.16454124768224	0.1340743846503	-2886.90061585626	-824.190606307646	-729.190457904094
