state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
9990000	-5276.44972490193	-1123.78933402395	-4152.66039087798	491.268412578786	691.819441367843	3.37003282419996	2.82968798731306	0.416644896462974	0.160674120391291	0.20597467187282	0.216706311272922	0.0328584132319717	0.000113848939138498	0.00016549605064194	6.49470963391955e-05	1.17567195455306	-0.00454451178026638	-4152.66039087798	-632.779478559226	-486.806369477847
10090000	-5293.9816329439	-1154.04693672933	-4139.93469621457	639.948755246668	1256.48510051543	3.47006264337943	3.1513479136266	0.384392232215639	0.18116126633034	0.201294297810685	0.233152203643343	0.0505365254397186	6.83670578707683e-05	9.10119986979142e-05	4.85892376674054e-05	1.08989606729576	0.135280533463737	-4139.93469621457	-632.779478559226	-516.853492145265
10190000	-5284.38062347441	-1144.74663785938	-4139.63398561503	503.466899964917	793.521050928568	4.51874128184703	3.67088632339526	0.424036606185018	0.181637768737402	0.187542861189094	0.206782763888492	0.09932773402139	9.67739971405053e-05	0.000149669441269189	6.26630838132895e-05	0.919173534875127	0.148337778156463	-4139.63398561503	-632.779478559226	-506.181173421821
10290000	-5275.66880510263	-1128.03434348426	-4147.63446161837	499.63604934236	567.031929059832	4.71914753536255	2.79074373929972	0.413633443570398	0.184133828118967	0.191307087106317	0.210925641204325	0.0777268845381037	9.81059151070385e-05	0.000109681829928547	6.60310874580834e-05	0.894116046752913	0.255168988827614	-4147.63446161837	-632.779478559226	-490.440851541759
10390000	-5269.18337490753	-1138.52379425074	-4130.65958065679	523.013637038492	629.678101354006	3.89439968558098	3.19987847873898	0.415064470974344	0.177002306315821	0.188264859859528	0.219668362850314	0.0649521929412328	9.53931822676887e-05	0.000156658960092102	5.38482623414225e-05	1.13177186419864	0.176461386972292	-4130.65958065679	-632.779478559226	-501.116576633036
10490000	-5311.78861468917	-1166.5484192019	-4145.24019548727	696.730369805303	1666.16409606819	3.80746142614798	2.85293810995658	0.399464431493393	0.191539936170915	0.196449589846827	0.212546042488871	0.0774200554458614	8.31260445234969e-05	0.000172629567759009	4.35439217756736e-05	1.64521323470261	0.149959320762228	-4145.24019548727	-632.779478559226	-528.730281781318
10590000	-5259.61275754185	-1136.02784237806	-4123.58491516379	740.415441649324	972.473535980024	3.89585098047078	2.72258723075637	0.385952018553421	0.196265894985775	0.189619721796609	0.228162364664202	0.0327738325645464	0.000113443707767756	0.000211298088275376	6.01252539797322e-05	1.17790592649431	0.0126225536561333	-4123.58491516379	-632.779478559226	-498.394253891162
10690000	-5264.75785297682	-1133.32793728781	-4131.42991568901	629.308231024982	718.589360621355	4.57506393214404	3.04980642090592	0.409962192673147	0.183424938434156	0.185305843794961	0.221307025097744	0.0708757318058779	9.23342041383287e-05	0.000139963723887483	5.89153046606377e-05	1.28077483965397	0.300709213478747	-4131.42991568901	-632.779478559226	-495.47041701635
10790000	-5254.84303137119	-1129.81095158147	-4125.03207978972	575.830448938767	881.595312537076	4.0272894572714	3.66650681090792	0.414942505768041	0.167655853609727	0.192994903900782	0.224406736721459	0.00646041644711447	0.000111955410103557	0.000219411243992362	6.75846567273647e-05	1.27942931407707	-0.0135522323242539	-4125.03207978972	-632.779478559226	-491.441468619293
10890000	-5274.54282069608	-1135.99483766923	-4138.54798302685	519.887056408692	685.17378907326	4.80879814894494	4.20038286602414	0.406622245481618	0.170979663627122	0.195885212034596	0.226512878856672	0.0829593597393911	0.000105353675814189	0.000155214649449662	6.66991763423179e-05	1.32091065677868	0.0708455051498924	-4138.54798302685	-632.779478559226	-496.878431122649
