state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
10010000	-30713.2696333767	-9217.78163646825	-21495.4879969084	1517.61723714191	1646.94333318691	5.10118568391132	6.46451638644876	0.396258353947887	0.14571709373858	0.227109106186219	0.230915446127316	0.187985397093819	0.000337718010250422	0.000477401544349808	0.000180814434096692	1.43876590975122	0.191449075513024	-21495.4879969084	-5656.05758914338	-3550.45539401341
10100000	-30702.6087777303	-9236.20994329705	-21466.3988344333	1273.16724925752	1717.4696037583	5.2237774999063	6.87540742447159	0.410165311439758	0.13280295435708	0.235365853557544	0.22166588064562	0.174056857451452	0.000356002897411321	0.000569550703571038	0.000183739895946926	1.53333419330218	0.142743918910598	-21466.3988344333	-5656.05758914338	-3568.45750665146
10200000	-30707.9597004408	-9244.87961342784	-21463.080087013	1936.53246951733	1931.01940037523	4.89732535282555	7.52812180952851	0.414231361009137	0.139407771769701	0.240500562889257	0.205860304331907	0.185193218603098	0.00035462089896773	0.000620112165197997	0.000175385629739464	1.67773179299812	0.102802104752908	-21463.080087013	-5656.05758914338	-3576.87804457809
10300000	-30680.5301613886	-9230.61006342641	-21449.9200979622	2586.76778750069	1665.52940320513	4.81434041779918	6.61324334028275	0.418363421446196	0.143597102415272	0.236775868098422	0.201263608040111	0.182224475917586	0.000348726906744145	0.000672364320889386	0.000163997235189913	1.74833980381034	0.0603667817221607	-21449.9200979622	-5656.05758914338	-3563.31758079563
10400000	-30730.0737100095	-9239.87060605935	-21490.2031039501	1312.35646737774	1896.31886324895	4.77386697452031	6.38671557706162	0.393808936901574	0.149946905231878	0.24695436181988	0.209289796046669	0.173953156010139	0.000339285893349367	0.000584986045452174	0.00016894590588729	1.71803503679019	0.1779891792392	-21490.2031039501	-5656.05758914338	-3572.67486609585
10500000	-30740.0503224143	-9266.44066737022	-21473.6096550441	1258.2814965611	1827.57810853451	5.17897826173581	6.91806699575765	0.39947105618134	0.143612022515548	0.229508755450263	0.22740816585285	0.16742383733332	0.000351786237658043	0.00060802066397515	0.000171396518943641	1.81306939106302	0.158817224321457	-21473.6096550441	-5656.05758914338	-3598.67209862719
10600000	-30716.5993198004	-9243.27947242518	-21473.3198473752	1244.99424428116	1718.97077063143	4.87819429107807	6.56831439150209	0.398804869249904	0.154425917115277	0.242988955057567	0.203780258577254	0.176823870427066	0.000341242226009562	0.000572142144703474	0.00016787629790126	1.61505145485803	0.149118226722683	-21473.3198473752	-5656.05758914338	-3575.99708324057
10700000	-30726.7438653445	-9259.00630886414	-21467.7375564804	1543.79133866622	1853.25159194687	5.20482962463114	7.01606345541527	0.401254629994188	0.141340378992296	0.237396865751735	0.220008125261783	0.170570544761013	0.000339549312934513	0.000620480391442127	0.000176483216120033	1.83965563760152	0.125225878350036	-21467.7375564804	-5656.05758914338	-3591.23041814913
10800000	-30688.1093873204	-9238.38266135421	-21449.7267259662	1562.66000386668	1987.45586936739	5.52815635253759	6.14268335731608	0.38628874221683	0.152271824065899	0.231727706180978	0.229711727536294	0.169797577562734	0.000351458360572356	0.000641291389334061	0.000169515104351108	1.84705850774579	0.132200619102299	-21449.7267259662	-5656.05758914338	-3570.72845367496
10900000	-30688.0634497821	-9222.56784871567	-21465.4956010664	2253.57747844369	1687.09670962878	4.75225616619179	6.14984811117838	0.402095843028448	0.150775260138972	0.236767969600209	0.210360927232371	0.165861570888631	0.000328128486312234	0.000552304588002611	0.000168996909345144	1.64798819402738	0.0989553609363488	-21465.4956010664	-5656.05758914338	-3555.724290676
11000000	-30700.8384041922	-9240.71131193063	-21460.1270922616	1436.07364898554	1860.87464045958	4.99417477040759	6.45412136412615	0.408479547877728	0.147313971785089	0.229315892452028	0.214890587885156	0.180627943966836	0.000364547782020266	0.000686076961288228	0.000171052704730099	1.79395538378777	0.0943341034490995	-21460.1270922616	-5656.05758914338	-3573.17919147766
