state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
10010000	-4327.05559709645	-1859.14671918256	-2467.90887791388	2158.73464173276	2180.33757537924	4.93881624415652	2.70746649698088	0.442056529267997	0.166234327304836	0.177399511371787	0.214309632055376	0.0541064264602667	1.28381911061709e-05	5.90563860892033e-05	5.64559210271891e-06	3.36198065451948	0.0632840339082604	-2467.90887791388	-1021.96448285829	-833.218477693004
10100000	-4301.93505236338	-1851.42101188364	-2450.51404047975	971.116187204845	1775.68209943971	2.95430548527013	2.10495101118416	0.443842681865449	0.156684557797338	0.190570972156736	0.208901788180474	0.0359949713008363	1.28267303639329e-05	3.19496601285211e-05	8.2599542765832e-06	1.29430623767881	0.0158802152616051	-2450.51404047975	-1021.96448285829	-827.847900063839
10200000	-4304.18815164805	-1851.27332106836	-2452.91483057969	1705.02719986739	1822.90358498957	3.60733835090745	2.23113091168391	0.453237489559335	0.146205288945965	0.194343053942008	0.206214167552689	0.0122340906133818	1.40841405395668e-05	6.3333341127101e-05	7.17898311818159e-06	2.21469662975827	-0.0145703669215939	-2452.91483057969	-1021.96448285829	-826.979491450778
10300000	-4307.8250543729	-1849.40139089424	-2458.42366347866	3099.035062569	1943.90947264809	2.23736990325363	2.05469274334805	0.441889832154017	0.166618942889948	0.181537116540035	0.209954108415997	0.029054508627272	1.03071225361731e-05	3.33868731006664e-05	5.47183048560837e-06	1.70085425239135	0.0416906034494423	-2458.42366347866	-1021.96448285829	-826.616464937489
10400000	-4319.17544428469	-1859.22933185665	-2459.94611242804	875.056434664361	1860.82359278992	4.88922805401706	1.88952754661885	0.424584728100747	0.159366175802337	0.205866503197007	0.210182592899906	0.00678270961923947	1.32613696503241e-05	2.89770593286786e-05	9.48575326394833e-06	1.37046802149302	-0.0615371924024426	-2459.94611242804	-1021.96448285829	-834.419046674232
10500000	-4292.553727669	-1847.44729839913	-2445.10642926987	1365.449482944	1610.37850208898	3.36186039996057	2.93318966306875	0.455966315403298	0.144516570283459	0.180822724401711	0.218694389911528	0.0231752834678115	1.76554153756511e-05	7.37065526905439e-05	8.57000426703204e-06	1.77691316300268	0.09215854097344	-2445.10642926987	-1021.96448285829	-822.617489357601
10600000	-4314.71443979492	-1872.76030749622	-2441.9541322987	1656.61614237995	2070.09991708806	3.81657959666931	3.09354503869329	0.436278949810923	0.157886485693129	0.182169575610305	0.223664988885641	0.0552101715109748	9.6534414233629e-06	3.5128019461761e-05	5.70956395066023e-06	1.71362772439554	0.111862516601398	-2441.9541322987	-1021.96448285829	-847.464005241215
10700000	-4326.49460184094	-1864.63144881583	-2461.86315302511	1341.91086290424	2022.11030408168	3.20022422533975	1.82679227087962	0.45187596247102	0.141860048818241	0.1926888736071	0.213575115103635	0.011944410738887	1.21478306747181e-05	5.67772852033709e-05	5.87277377075166e-06	1.87775490909239	0.0896074212884287	-2461.86315302511	-1021.96448285829	-841.105629257594
10800000	-4327.29985203998	-1870.6021932158	-2456.69765882417	2605.0370908951	2265.03551625392	2.90630059380084	2.53823909605185	0.448289045388835	0.153362202275304	0.195428616561238	0.20292013577462	0.0332131772505137	3.54485038512527e-05	0.000322938807453024	6.33277211990739e-06	1.42212273024699	-0.0062072783271697	-2456.69765882417	-1021.96448285829	-845.539892107528
10900000	-4315.58201321073	-1844.7446559212	-2470.83735728954	1221.6684884789	1871.31703852262	2.74060327653174	1.71550885677225	0.442233433766869	0.149018413209726	0.182790011554323	0.225958141469079	0.0983293734285817	1.32457019336182e-05	6.69607245519491e-05	6.15634578577538e-06	2.07745103095992	0.00800034868526451	-2470.83735728954	-1021.96448285829	-821.618063422115
11000000	-4325.39801761173	-1856.84262746252	-2468.55539014921	3325.10575092953	2241.99895628804	2.13506512980524	1.50659893517552	0.432068224296462	0.159163615490887	0.190366708219834	0.218401451992815	0.10353322227615	2.03566124451301e-05	0.000115223377038762	6.05751861380901e-06	2.10658827527459	0.0290670430781862	-2468.55539014921	-1021.96448285829	-834.092867825835
11100000	-4341.29032017145	-1875.43472655282	-2465.85559361863	2015.44149659852	2250.67139027282	2.46764665341118	1.86535869574744	0.453746882934715	0.153330769788162	0.177351545697786	0.215570801579334	0.154897503992384	6.77505252328698e-05	0.00492263894614676	5.20122899473342e-06	2.18622204244249	0.131024156677862	-2465.85559361863	-1021.96448285829	-850.443459785708
11200000	-4336.16045983396	-1879.06721533517	-2457.0932444988	1470.16717607586	2293.98585152943	4.09232278018996	2.44885523476711	0.450548231171592	0.153097516587792	0.182106854026705	0.214247398213907	0.00386981393518952	2.12887537014962e-05	0.000184521156617425	4.98182296186761e-06	3.01428675453801	0.0026233933036558	-2457.0932444988	-1021.96448285829	-853.666016638991
11300000	-4291.11501708889	-1835.02755444819	-2456.0874626407	1057.44311188099	1694.64860781073	3.1032123956127	2.72749483983028	0.442528896786987	0.154559840242825	0.186109907958045	0.216801355012141	0.0458401997439406	2.47994665596878e-05	0.000158678363419359	8.26115643044916e-06	2.27320598681182	0.0245046359202357	-2456.0874626407	-1021.96448285829	-810.230741778882
11400000	-4315.871505027	-1855.58522420603	-2460.28628082098	2354.86616477994	1875.52041821249	3.37340770490154	2.87552564818737	0.442835387519542	0.142969660609499	0.201869393094878	0.212325558776078	0.00464392756773255	1.89810744654547e-05	0.00015525103258992	5.00963582088172e-06	4.40828769560099	0.0993079828673999	-2460.28628082098	-1021.96448285829	-830.627826437993
