"","subtype","GD"
"202","01_AE",0.015799021
"203","01_AE",0.049775306
"204","01_AE",0.020995469
"205","01_AE",0.035011275
"206","01_AE",0.035468688
"207","01_AE",0.014486347
"208","01_AE",0.030517725
"209","01_AE",0
"210","01_AE",0.023448175
"211","01_AE",0.037970133
"212","01_AE",0.028041205
"213","01_AE",0.038288773
"214","01_AE",0.017019275
"215","01_AE",0.033961825
"216","01_AE",0.026744621
"217","01_AE",0.026681921
"218","01_AE",0.041643944
"219","01_AE",0.035432281
"220","01_AE",0.034056406
"221","01_AE",0.010220758
"222","01_AE",0.028618086
"223","01_AE",0.021815846
"224","01_AE",0.01667008
"225","01_AE",0.003766174
"226","01_AE",0.043397262
"227","01_AE",0.023881047
"228","01_AE",0.028777299
"229","01_AE",0.001857912
"230","01_AE",0.015590551
"231","01_AE",0.033233353
"232","01_AE",0.021266341
"233","01_AE",0.071702692
"234","01_AE",0
"235","01_AE",0.024493666
"236","01_AE",0.028908817
"237","01_AE",0.033174892
"238","01_AE",0.033680869
"239","01_AE",0.041218031
"240","01_AE",0.006700661
"241","01_AE",0.047359712
"242","01_AE",0.023238622
"243","01_AE",0.018811873
"244","01_AE",0.029450084
"245","01_AE",0
"246","01_AE",0.001885675
"247","01_AE",0.03436905
"248","01_AE",0.030255087
"249","01_AE",0.030322628
"250","01_AE",0.042452769
"251","01_AE",0.036044525
"252","01_AE",0.046388622
"253","01_AE",0.020297364
"254","01_AE",0.023631506
"255","01_AE",0.022954711
"256","01_AE",0.030335731
"257","01_AE",0.013838481
"258","01_AE",0.026982645
"259","01_AE",0.02330564
"260","01_AE",0.016686771
"261","01_AE",0.001635438
"262","01_AE",0.00747399
"263","01_AE",0.001890604
"264","01_AE",0
"265","01_AE",0.009205402
"266","01_AE",0.016957277
"267","01_AE",0.017255126
"268","01_AE",0.015013709
"269","01_AE",0.02198088
"270","01_AE",5e-09
"271","01_AE",0.027703813
"272","01_AE",0.017268772
"273","01_AE",0.003766432
"274","01_AE",0
"275","01_AE",0.008726559
"276","01_AE",0.000929676
"277","01_AE",0.008463384
"278","01_AE",0.016377932
"279","01_AE",0.025439585
"280","01_AE",0.012437972
"281","01_AE",0.015785875
"282","01_AE",0.013350247
"283","01_AE",0.006849857
"284","01_AE",0.023247071
"285","01_AE",0.014519384
"286","01_AE",0.010605926
"287","01_AE",0.009756227
"288","01_AE",0.018494242
"289","01_AE",0.022874632
"290","01_AE",0.03189609
"291","01_AE",0.035537673
"292","01_AE",0.031470705
"293","01_AE",0.000941549
"294","01_AE",0.017297815
"295","01_AE",0.052049325
"296","01_AE",0.050971174
"297","01_AE",0.031980327
"298","01_AE",0.028017215
"299","01_AE",0.039352219
"300","01_AE",0.010364849
"301","01_AE",0.042136149
"302","01_AE",0.044364101
"303","01_AE",0.028803331
"304","01_AE",0.032934897
"305","01_AE",0.0348158
"306","01_AE",0.007040956
"307","01_AE",5e-09
"308","01_AE",0.056444093
"309","01_AE",0.036648535
"310","01_AE",0.018430308
"311","01_AE",0.000933242
"312","01_AE",0.031505785
"313","01_AE",0.037615525
"314","01_AE",0.002812829
"315","01_AE",0.025761887
"316","01_AE",0.021083806
"317","01_AE",0.009922691
"318","01_AE",0.037477016
"319","01_AE",0.030053042
"320","01_AE",0.003795538
"321","01_AE",0.039033324
"322","01_AE",0.044363545
"323","01_AE",0.035803443
"324","01_AE",0.037439381
"325","01_AE",0.029823257
"326","01_AE",0.022854127
"327","01_AE",0.033110176
"328","01_AE",0.030315126
"329","01_AE",0.022426335
"330","01_AE",0.018242371
"331","01_AE",0.016417971
"332","01_AE",0.025109186
"333","01_AE",0.034224441
"334","01_AE",0.011156079
"335","01_AE",0.00380299
"336","01_AE",0.009549457
"337","01_AE",0.002896812
"338","01_AE",0.022881065
"339","01_AE",0.018131763
"340","01_AE",0.022170216
"341","01_AE",0.022861273
"342","01_AE",0.00284384
"343","01_AE",0.010538563
"344","01_AE",0.010546792
"345","01_AE",0.024868193
"346","01_AE",0.011495897
"347","01_AE",0.003917284
"348","01_AE",0.017096419
"349","01_AE",0.004725621
"350","01_AE",0.010671873
"351","01_AE",0.007784175
"352","01_AE",0.010730141
"353","01_AE",0.005747858
"354","01_AE",0.013573131
"355","01_AE",0.020311165
"356","01_AE",0
"357","01_AE",0.009350324
"358","01_AE",0.007687911
"359","01_AE",0.008404829
"360","01_AE",0.045245073
"361","01_AE",0.00430365
"362","01_AE",0.037179643
"363","01_AE",0.019217844
"364","01_AE",0.043153274
"365","01_AE",0.025203767
"366","01_AE",0.041045192
"367","01_AE",0.029179967
"368","01_AE",0.036649145
"369","01_AE",0.040098277
"370","01_AE",0.042866104
"371","01_AE",0.045409174
"372","01_AE",0.018810985
"373","01_AE",0.031174202
"374","01_AE",0.04606997
"375","01_AE",0.02668972
"376","01_AE",0.037514181
"377","01_AE",0.046681716
"378","01_AE",0.000903397
"379","01_AE",0.034324199
"380","01_AE",0.008753325
"381","01_AE",0.037479717
"382","01_AE",0.023683871
"383","01_AE",0.021387952
"384","01_AE",0.019450871
"385","01_AE",5e-09
"386","01_AE",0.028373318
"387","01_AE",0.03713325
"388","01_AE",0.036766404
"389","01_AE",0.050083399
"390","01_AE",0.000947027
"391","01_AE",0.049410951
"392","01_AE",0.031123021
"393","01_AE",0.004431259
"394","01_AE",0.024511259
"395","01_AE",0
"396","01_AE",5e-09
"397","01_AE",0.009787184
"398","01_AE",0.000928993
"399","01_AE",0.020989822
"400","01_AE",0.038230511
"401","01_AE",0.002030308
"402","01_AE",0.022717039
"403","01_AE",0.011624287
"404","01_AE",0.026791259
"405","01_AE",0.026649184
"406","01_AE",0.045172473
"407","01_AE",0.001861274
"408","01_AE",0.03270545
"409","01_AE",0.00710091
"410","01_AE",0.025674266
"411","01_AE",0.027860127
"412","01_AE",0.00670515
"413","01_AE",0.035776741
"414","01_AE",0.028980749
"415","01_AE",0.021066928
"416","01_AE",0.016746583
"417","01_AE",0.027153832
"418","01_AE",0.002895768
"419","01_AE",0.043624016
"420","01_AE",0.030914902
"421","01_AE",0.019299445
"422","01_AE",0.019111922
"423","01_AE",0.026341491
"424","01_AE",0.018982387
"425","01_AE",0.018470752
"426","01_AE",0.01803601
"427","01_AE",0.015962472
"428","01_AE",0.013673257
"429","01_AE",0.015841917
"430","01_AE",0.007376247
"431","01_AE",0.027945055
"432","01_AE",0.016057074
"433","01_AE",0.007110751
"434","01_AE",0.014405206
"435","01_AE",0.017725567
"436","01_AE",0.012976405
"437","01_AE",0.010433482
"438","01_AE",0.013058184
"439","01_AE",0.026760287
"440","01_AE",0.02155582
"441","01_AE",0.003113029
"442","01_AE",0.003646055
"443","01_AE",0
"444","01_AE",0.026018851
"445","01_AE",0.021366752
"446","01_AE",0.026404544
"447","01_AE",0.066121909
"448","01_AE",0.030706781
"449","01_AE",0.034244943
"450","01_AE",0.019882771
"451","01_AE",0
"452","01_AE",0.003046294
"453","01_AE",0.029816511
"454","01_AE",0.040615732
"455","01_AE",0.034905169
"456","01_AE",0.006991839
"457","01_AE",0.047275326
"458","01_AE",0.01361174
"459","01_AE",0.024629228
"460","01_AE",0.041661476
"461","01_AE",0.027821625
"462","01_AE",0.020798804
"463","01_AE",0.007599866
"464","01_AE",0.026883048
"465","01_AE",0.035824146
"466","01_AE",0.007209218
"467","01_AE",0.003763721
"468","01_AE",0.047158707
"469","01_AE",0.016609993
"470","01_AE",0.01983064
"471","01_AE",0.000927527
"472","01_AE",0.01429679
"473","01_AE",0.042083042
"474","01_AE",0.012046855
"475","01_AE",0.021211697
"476","01_AE",0
"477","01_AE",0.029692171
"478","01_AE",0.034187613
"479","01_AE",0.032372946
"480","01_AE",0.045428128
"481","01_AE",0.036615523
"482","01_AE",0.005101592
"483","01_AE",0.040464218
"484","01_AE",0.026805226
"485","02_AG",0.045182095
"486","02_AG",0.083272988
"487","02_AG",0.038998674
"488","02_AG",0.075059367
"489","02_AG",0.058741737
"490","02_AG",0.073564204
"491","02_AG",0.057537955
"492","02_AG",0.071701969
"493","02_AG",0.042061664
"494","02_AG",0.070248603
"495","02_AG",0.06731186
"496","02_AG",0.056904528
"497","02_AG",0.041481605
"498","02_AG",0.06001095
"499","02_AG",0.055890634
"500","02_AG",0.040975002
"501","02_AG",0.064236402
"502","02_AG",0.073863071
"503","02_AG",0.08794957
