"","subtype","VR1.lower","VR1.upper","VR2.lower","VR2.upper","VR3.lower","VR3.upper","VR4.lower","VR4.upper","VR5.lower","VR5.upper"
"1","01_AE",0.0494696646227087,0.0694879392449705,0.0474659341999402,0.0660993245245896,0.00155589293018594,0.00405330017807678,0.0141367056388169,0.021495246600431,0.0192592641679617,0.0282803450668661
"2","02_AG",0.0222211390697967,0.0417353351602967,0.0249333723661665,0.0469326804299952,0.00307815530165272,0.0088732852428478,0.0201065326079903,0.0379011440772312,0.00556380420157186,0.0132383592704595
"3","A1",0.0182333477573071,0.0302774225475704,0.0309731802408677,0.0516822756467491,0.00255868299461785,0.00633397698821036,0.0177721646470834,0.0295758845137907,0.00539774309041087,0.010756204809662
"4","B",0.0242392275696104,0.0287927568588575,0.0155906208207216,0.0185289110823694,0.00207617554097918,0.00287774396167285,0.0153463336388502,0.0181982637818551,0.0140835102995105,0.0167397108049139
"5","C",0.0323324534085124,0.0396119085858609,0.0365840190008451,0.0450814633271901,0.00358201050382262,0.00522958102402489,0.0159191546709057,0.0198831282925262,0.0159473687707717,0.0199370232535674
"6","D",0.0257019645089135,0.0504875917170603,0.025581505558321,0.0517739867387582,0.00419100165471125,0.0126050659162023,0.0147742978395476,0.0309949447724773,0.00900021186271341,0.0211036508220046
"7","F1",0.0197603066812744,0.0585343475391909,0.0107440500216162,0.0366396562110445,0,0,0.000358941323669353,0.00654558516227994,0.00666054187156671,0.0266182949436325
