"","subtype","VR1.A.no","VR1.G.no","VR1.T.no","VR1.C.no","VR1.A.yes","VR1.G.yes","VR1.T.yes","VR1.C.yes","VR2.A.no","VR2.G.no","VR2.T.no","VR2.C.no","VR2.A.yes","VR2.G.yes","VR2.T.yes","VR2.C.yes","VR3.A.no","VR3.G.no","VR3.T.no","VR3.C.no","VR3.A.yes","VR3.G.yes","VR3.T.yes","VR3.C.yes","VR4.A.no","VR4.G.no","VR4.T.no","VR4.C.no","VR4.A.yes","VR4.G.yes","VR4.T.yes","VR4.C.yes","VR5.A.no","VR5.G.no","VR5.T.no","VR5.C.no","VR5.A.yes","VR5.G.yes","VR5.T.yes","VR5.C.yes"
"1","01_AE",71.2345679012346,26.7283950617284,38.3086419753086,30.3086419753086,75.7150837988827,29.2793296089385,39.0223463687151,33.1564245810056,92.6329113924051,45.9367088607595,75.126582278481,25.5189873417722,99.6850828729282,49.3646408839779,81.1325966850829,27.4972375690608,90.6913580246914,41.5720164609054,41.3868312757202,36.3292181069959,84.7647058823529,40.8823529411765,41.8235294117647,34.8235294117647,63.2662721893491,27.0532544378698,41.4437869822485,31.414201183432,68.8901098901099,31.989010989011,44.2857142857143,34.5494505494505,24.9597315436242,11.0805369127517,14.8053691275168,14.5234899328859,27.6846846846847,13.6126126126126,16.4684684684685,15.0990990990991
"2","02_AG",46.7058823529412,18.2352941176471,21.7058823529412,20,65.3617021276596,27.7234042553191,32.6170212765957,35.1914893617021,85,37.8666666666667,63.7333333333333,27.8666666666667,105.448979591837,46.5714285714286,76.9795918367347,30.0816326530612,86.1,46.54,40.42,36.78,84.9285714285714,44.0714285714286,40.0714285714286,35.7142857142857,66.8947368421053,31.1578947368421,43.2631578947368,42,72.3111111111111,31.8888888888889,47.8222222222222,42.7777777777778,25.3720930232558,12.4883720930233,14.8837209302326,11.7674418604651,27.7619047619048,15.2857142857143,17.1428571428571,12.6666666666667
"3","A1",58.7959183673469,24.7142857142857,25.8367346938776,26.2244897959184,65.6811594202899,28.7826086956522,31.4782608695652,33.8985507246377,109.484848484848,43.5454545454545,81.4242424242424,28.6969696969697,107.364705882353,45.7294117647059,80.9882352941176,29.3529411764706,87.4242424242424,44.3333333333333,41.3030303030303,36.5959595959596,86.8947368421053,43,41.3684210526316,35.5263157894737,66.38,36.44,47.44,42.18,68.8382352941177,37.4705882352941,48.1911764705882,44.2058823529412,28.2470588235294,9.97647058823529,13.9764705882353,13.9647058823529,30.3333333333333,11.1212121212121,15.2727272727273,15.3939393939394
"4","A6",59.5454545454545,28.2727272727273,31.7272727272727,30.0909090909091,67.8620689655172,32.5862068965517,36.9310344827586,38.9655172413793,98.7857142857143,40.6428571428571,74.5,32.1428571428571,101.576923076923,40.4615384615385,76.3846153846154,33,82.3428571428571,47.2857142857143,41.7428571428571,38.5714285714286,83.8,47.4,41.6,38.4,69.6315789473684,31.3684210526316,38.2105263157895,42.5789473684211,73.7619047619048,33.9523809523809,39.5238095238095,45.3333333333333,21.6216216216216,10.6756756756757,11.1351351351351,14.1081081081081,25.3333333333333,11.6666666666667,12.3333333333333,14.6666666666667
"5","BC",52.4166666666667,24.8333333333333,28.1666666666667,15.5833333333333,63.68,31.56,37.12,20.04,98,48.75,83.25,36.5,98.969696969697,47.5757575757576,81.8181818181818,37.7878787878788,96.4864864864865,43.4594594594595,35.6756756756757,34.3513513513514,0,0,0,0,62.6363636363636,26.1818181818182,44.5454545454545,38.3636363636364,69.0384615384615,28.1538461538462,51.3846153846154,38.6538461538462,26.6,11.3333333333333,12.4,12.2,32.7727272727273,12.9545454545455,13.3636363636364,15.2727272727273
"6","B",66.1535648994516,36.5210237659963,36.1864716636197,21.9725776965265,72.6639566395664,37.6382113821138,42.029810298103,24.6869918699187,97.9674556213018,43.146449704142,75.1952662721893,34.4733727810651,100.865353037767,44.3875205254516,76.8325123152709,35.2627257799672,93.3385964912281,44.1798245614035,38.5675438596491,33.3350877192982,91.8620689655172,42.5793103448276,38.448275862069,33.0620689655172,69.0494752623688,33.6941529235382,51.8275862068966,35.0299850074963,70.0210355987055,34.0517799352751,52.5582524271845,36.2718446601942,27.0201149425287,13.0545977011494,13.0890804597701,17.3721264367816,28.2733446519525,14.5025466893039,13.3565365025467,18.7775891341256
"7","C",56,24.1761363636364,34.5681818181818,17.5568181818182,65.6540880503145,28.8993710691824,41.5199161425577,21.8909853249476,98.6686746987952,42.6385542168675,72.9397590361446,34.3795180722892,102.552361396304,44.7063655030801,75.2197125256673,36.5564681724846,94.3504587155963,44.4752293577982,36.794495412844,33.4807339449541,92.6111111111111,42.6018518518519,37.3611111111111,32.8425925925926,63.0872274143302,20.8193146417445,41.0560747663551,37.0654205607477,68.0753012048193,23.2530120481928,45.1927710843374,39.2319277108434,29.2136222910217,11.3498452012384,11.9938080495356,13.3622291021672,34.1151515151515,13.430303030303,12.6666666666667,15.0575757575758
"8","D",54.4583333333333,30.375,26.9166666666667,24.3333333333333,64.85,34.175,32,29.125,101.038461538462,41.3076923076923,74.3846153846154,31.5384615384615,105.473684210526,43.0789473684211,76.1578947368421,31.2631578947368,89.2941176470588,41.156862745098,35.1960784313725,40.2156862745098,89.5384615384615,40.3846153846154,36.8461538461538,41.3076923076923,69.0882352941177,30.8823529411765,43.3529411764706,32.4117647058824,74.8,32.3333333333333,45.8333333333333,32.1333333333333,24.6190476190476,11.9047619047619,15.3809523809524,12.7619047619048,26.5,12.6363636363636,17.0454545454545,15.1363636363636
"9","F1",62.1428571428571,30.7142857142857,28.2857142857143,39.1428571428571,60.4705882352941,31.5294117647059,30.0588235294118,41.2352941176471,99.0833333333333,38.9166666666667,72.6666666666667,31.6666666666667,105.5,47.4166666666667,74.1666666666667,36,92.9166666666667,42.4583333333333,37.5,37.0833333333333,0,0,0,0,49.5909090909091,17.0454545454545,37.1363636363636,30.0909090909091,53.5,22,44,36.5,23.9333333333333,11,17.7333333333333,12.2666666666667,27,13.1111111111111,19,13.6666666666667
