filename,A.1,A.2,A.3,A.4,A.5,C.1,C.2,C.3,C.4,C.5,G.1,G.2,G.3,G.4,G.5,T.1,T.2,T.3,T.4,T.5
01_AE,12745,16748,1517,9977,3728,5336,4723,606,5022,2134,4861,8154,717,4079,1762,6288,14233,712,6522,2284
02_AG,3158,5083,1023,3239,968,1572,1461,425,1954,436,1257,2249,514,1425,479,1409,3893,474,2162,595
A1,4604,7981,1374,5010,1459,2224,2224,565,3195,763,1945,3321,678,2655,513,2017,6268,657,3524,743
B,48424,60525,13543,45244,15423,15908,21601,4846,23549,10429,24591,26785,6126,21496,7659,25965,48341,5697,34209,7397
C,26997,43906,10725,27525,12966,8314,15532,3788,16261,5913,11449,18688,4819,8988,4995,15844,33426,4318,18078,5174
D,1997,3470,1033,2766,658,864,1028,478,1287,374,1067,1410,490,1191,304,936,2584,429,1742,408
F1,1088,1587,0,669,361,732,543,0,423,198,563,667,0,239,150,495,1181,0,533,235
